200300984,리페리돈정1밀리그램(리스페리돈),장방형,하양,,-,,12.1,5.1,3.03,필름코팅정
200300496,비스론캡슐(페노피브레이트과립(미분화)),장방형,주황,주황,,,19.10,6.63,6.91,"경질캡슐제, 과립제"
200300213,래리스정250밀리그램(클래리트로마이신),타원형,노랑,,,,15.50,7.75,5.10,필름코팅정
200300026,록사겐캡슐(염산록사티딘아세테이트),장방형,연두,하양,,,15.70,5.57,5.83,"서방성캡슐제, 펠렛"
200302312,메부톤정(나부메톤),장방형,노랑,,,-,15.5,8.5,5.8,필름코팅정
200301725,에소펜정,원형,분홍,,,,12,12,4.75,나정
200302484,헤리코정250밀리그람(클래리트로마이신),장방형,노랑,,,-,15.0,8.0,5.0,필름코팅정
200401614,네프릴정(말레인산에날라프릴),원형,하양,,,-,9,9,3,나정
200400705,로트릴정10밀리그램(에날라프릴말레산염),팔각형,하양,,,,9.4,6.0,3.4,나정
200302039,에페리정50밀리그램(에페리손염산염)(수출명:스파블렉스Spabulex),원형,하양,,,,8,8,4.5,당의정
200402677,피로이드정(피나스테리드),원형,파랑,,,+,7.61,7.61,4.02,필름코팅정
200401769,칸디나캡슐(플루코나졸),장방형,파랑,하양,,,13.7,5.1,5.1,"경질캡슐제, 산제"
200400359,한올플루코나졸캡슐,장방형,연두,노랑,,,14,5,5,"경질캡슐제, 산제"
200401146,태극플루코나졸캡슐,장방형,파랑,하양,,,14.20,5.05,5.32,"경질캡슐제, 산제"
200400336,플루코팜캡슐(플루코나졸),장방형,파랑,하양,,,13.82,4.8,5.1,"경질캡슐제, 산제"
200404738,엑스틴캡슐(플루옥세틴염산염),장방형,연두,노랑,,,14.5,5.08,5.36,"경질캡슐제, 산제"
200402407,이텍스글리클라짓정,원형,하양,,,,8.0,8.0,2.7,나정
200403006,레피라이정(레보설피리드),원형,하양,,,,6.1,6.1,3.6,나정
200401118,태극레보설피리드정(레보설피리드),타원형,하양,,,,7.7,5.1,3.4,나정
200300154,메로콕스캡슐7.5밀리그램(멜록시캄),장방형,초록,초록,,,15.45,5.65,5.65,"경질캡슐제, 산제"
200300130,메록심캡슐(멜록시캄),장방형,연두,연두,,,17.4,6.4,6.4,"경질캡슐제, 산제"
200300089,멜락스캡슐7.5밀리그램(멜록시캄),장방형,연두,연두,,,17.60,6.07,6.35,"경질캡슐제, 산제"
200300261,멜록시펜캡슐(멜록시캄)(수출명:국제메펜캡슐),장방형,연두,연두,,,15.70,5.57,5.83,"경질캡슐제, 산제"
200302052,콕시캄캡슐(멜록시캄),장방형,초록,초록,,,17.4,5.8,6.4,"경질캡슐제, 산제"
200300030,뉴시캄캡슐7.5밀리그램(멜록시캄),장방형,연두,연두,,,17.60,6.07,6.35,"경질캡슐제, 산제"
200300411,멜로캄캡슐7.5밀리그람(멜록시캄)(수출명:유한멜로캄캡슐7.5밀리그람),장방형,파랑,파랑,,,17.6,6.07,6.35,"경질캡슐제, 산제"
200404737,뉴로핀정(옥시라세탐)(수출용),장방형,하양,,,-,17.6,7.6,6.2,나정
200308836,파록센정(파록세틴염산염반수화물),타원형,하양,,,-,11.72,6.53,6.53,필름코팅정
200400687,가스파민정(레바미피드),원형,하양,,,,8.0,8.0,3.3,필름코팅정
200401324,리페리돈정0.5밀리그램(리스페리돈),장방형,갈색,,-,,9.2,5.1,3.1,필름코팅정
200402374,리피스탄정(심바스타틴),타원형,분홍,,,-,11.2,6.5,3.6,필름코팅정
200401145,태극심바스타틴정,타원형,주황,,,-,11.5,6.6,3.7,필름코팅정
200403258,심바스포정20밀리그램(심바스타틴),타원형,갈색,,,-,10.98,6.15,3.6,필름코팅정
200402408,타말겐정(탈니플루메이트),원형,주황,,,,11.2,11.2,5.25,필름코팅정
200404762,탈리겐정(탈니플루메이트),원형,주황,,,,11.2,11.2,5.1,필름코팅정
200403309,텔비나정(테르비나핀염산염),원형,하양,,-,,9,9,4.1,나정
200401144,태극테르비나핀염산염정,원형,하양,,,-,8,8,2,나정
200401586,에젤란정(아젤라스틴염산염),원형,노랑,,,,6,6,3,필름코팅정
200411068,자스민정(아젤라스틴염산염),원형,노랑,,,,6.57,6.57,3.31,필름코팅정
200411028,알레스틴정(에피나스틴염산염),원형,하양,,,-,6.1,6.1,2.9,필름코팅정
200400177,바소트롤정12.5밀리그램(카르베딜롤),원형,분홍,,,-,5.8,5.8,2.6,나정
200403405,카비롤정(카르베딜롤)(수출명 : CARVILOL tabs.),원형,하양,,,-,7,7,1.5,나정
200400273,에이프로젠카르베딜롤정,원형,하양,,,-,7.26,7.26,,나정
200402097,오스틴카르베딜롤정25밀리그램,원형,하양,,,-,7,7,2,나정
200402607,엘프린정(에날라프릴말레산염),육각형,하양,,,,8.0,7.0,2.5,나정
200400229,삼성테라민정(테라조신염산염수화물),원형,주황,,-,,,,,나정
200402943,하이조신정2mg(테라조신염산염수화물),원형,주황,,-,,7,7,3,나정
200402082,카포텍정50/25밀리그람,원형,하양,,,,8.5,8.5,4,나정
200403216,베니핀정(염산베니디핀)(수출용),원형,노랑,,,,7.0,7.0,3.3,필름코팅정
200402072,디엔정100밀리그람(구연산니카메테이트),원형,노랑,,,,8,8,5,당의정
200402071,디엔정50밀리그람(구연산니카메테이트),원형,하양,,,,8,8,4.2,당의정
200402848,로바이틴정(로바스타틴),원형,파랑,,,,8.1,8.1,3,나정
200400922,프라스탄정20밀리그람(프라바스타틴나트륨),장방형,분홍,,,,11.00,5.50,3.2,나정
200403243,명문심바스타틴정,타원형,주황,,,-,11.0,6.3,3.5,필름코팅정
200403459,심박정(심바스타틴)(수출명 : SIMVAC Tab.),타원형,분홍,,,,11.2,6.4,3.7,필름코팅정
200300670,에이프로젠심바스타틴정20밀리그램,타원형,주황,,,-,11.5,5.5,2.0,필름코팅정
200403508,한림심바스타틴정,타원형,주황,,-,,11.4,6.6,3.8,필름코팅정
200400486,대웅심바스타틴정40밀리그람(수출명:Starzoko40mg),타원형,주황,,,-,14,8,4.5,필름코팅정
200401319,베타프롤정(비소프롤롤푸마르산염),기타,노랑,,-,,8.17,6.93,2.82,필름코팅정
200403183,비소롤정(비소프롤롤푸마르산염),기타,노랑,,,-,8.15,6.1,2.75,필름코팅정
200401449,타이몰8시간이알정(아세트아미노펜),장방형,하양,,,,19.2,7.7,6.4,서방성필름코팅정
200501339,본에이드정70밀리그램(알렌드론산나트륨수화물),타원형,하양,,,,12.7,7.1,4.7,나정
200400118,락토웰장용캡슐(바실루스서브틸리스균·엔테로코쿠스페슘균배양물),장방형,연두,하양,,,17.6,6.0,6.3,"장용성캡슐제, 펠렛"
200404856,플루날캡슐(플루코나졸),장방형,파랑,하양,,,14.2,5.1,5.3,"경질캡슐제, 산제"
200401453,스포넥스캡슐(이트라코나졸),장방형,파랑,분홍,,,21.2,7.4,7.4,"경질캡슐제, 과립제"
200512315,가바피나캡슐(가바펜틴),장방형,노랑,노랑,,,18.6,6.6,6.6,"경질캡슐제, 산제"
200502654,토파민정(토피라메이트),원형,노랑,,,+,9.0,9.0,4.2,필름코팅정
200401505,알비스타연질캡슐,타원형,초록,,,,16.4,6.6,6.6,"연질캡슐제, 액상"
200402561,알베린스연질캡슐,타원형,초록,,,,14.48,7.38,7.38,"연질캡슐제, 액상"
200403816,유니콘연질캡슐,장방형,초록,,,,17,7,7,"연질캡슐제, 액상"
200500388,멜록시펜캡슐15밀리그람(멜록시캄),장방형,초록,노랑,,,17.60,6.07,6.35,"경질캡슐제, 산제"
200401750,탐스웰캡슐(탐스로신염산염),장방형,분홍,하양,,,14.4,5.2,5.1,"서방성캡슐제, 펠렛"
200501004,파나드정(피나스테리드),원형,파랑,,+,,7.6,7.6,3.8,필름코팅정
200503066,유니론틴캡슐100밀리그람(가바펜틴),장방형,하양,하양,,,17,5.5,6,"경질캡슐제, 산제"
200401504,세프론정(세프프로질수화물),장방형,주황,,,,14.5,6.4,5.0,필름코팅정
200402562,세푸질정(세프프로질수화물),타원형,분홍,,,,14.5,6.5,4.8,필름코팅정
200502732,메로캄캡슐(멜록시캄),장방형,연두,연두,,,17.4,6.1,6.1,"경질캡슐제, 산제"
200612313,에만틴정(메만틴염산염),기타,하양,,-,-,12.5,5.6,3.9,필름코팅정
200202874,렉센티정,원형,자주,,,,9.25,9.25,4.55,필름코팅정
200502876,메바린정(메토카르바몰),원형,하양,,,,9.1,9.1,4.5,나정
200403535,뮤코날캡슐,장방형,초록,초록,,,21.5,7.4,7.4,"경질캡슐제, 산제"
200500669,헬덱스정(아이비엽30%에탄올건조엑스(5~7.5→1))(수출명:필헬덱스정),원형,초록,,,,7.5,7.5,3,필름코팅정
200502769,라소텍정(란소프라졸) (수출용),원형,분홍,,,,9.54,9.54,4.67,장용성필름코팅정
200511029,글루코파지엑스알서방정(메트포르민염산염),장방형,하양,,,,19,9.25,6,서방정
200501265,뉴로닌캡슐300밀리그램(가바펜틴),장방형,노랑,노랑,,,18.9,6.3,6.7,"경질캡슐제, 산제"
200410603,에스티마연질캡슐100밀리그람(미분화프로게스테론),타원형,노랑,,,,11.7,7.0,7.7,"연질캡슐제, 현탁상"
200500186,칼디텍츄어블정,원형,하양,,,,18.2,18.2,6.8,추어블정(저작정)
200400045,크라목신현탁정250밀리그람(아목시실린·클라불란산칼륨(4:1))(수출명:SHINACIN Dispersible Tablet 250mg),타원형,하양,,,-,20.33,9.69,6.05,분산정(현탁정)
200500073,레르디핀정(레르카니디핀염산염),원형,노랑,,,-,6.7,6.7,3.3,필름코팅정
200400018,카르나정(염산아세틸엘카르니틴),장방형,하양,,,,17.7,7.7,5.9,필름코팅정
200512280,치오스타에이치알정(티옥트산),장방형,연두,,,,18.0,8.0,6.2,필름코팅정
200301726,노가기캡슐,장방형,보라,보라,,,17.60,6.07,6.35,"경질캡슐제, 산제"
200301477,알파칼연질캡슐(알파칼시돌),타원형,주황,,,,12.3,7,7,"연질캡슐제, 액상"
200201709,글루코민캅셀(결정황산글루코사민),장방형,빨강,노랑,,,19.10,6.63,6.91,"경질캡슐제, 산제"
200301457,다나텍캡슐(플루옥세틴염산염),장방형,연두,노랑,,,15.70,5.57,5.83,"경질캡슐제, 산제"
200301252,엘스테인캡슐(에르도스테인),장방형,초록,노랑,,,19.02,6.73,6.8,"경질캡슐제, 산제"
200301032,디란트정25밀리그램(카르베딜롤)(수출명:비미데신정(카르베딜롤)),원형,하양,,,-,7.1,7.1,2.9,나정
200301021,라미스타정(레바미피드),원형,하양,,,-,8.2,8.2,3.5,필름코팅정
200400724,심바트정20밀리그람(심바스타틴),타원형,분홍,,,,11.2,3.7,,필름코팅정
200308585,페노클정(아세클로페낙),원형,하양,,,,7.7,7.7,4.3,필름코팅정
200302642,아가펜정(아세클로페낙),원형,하양,,,,8.5,8.5,3.8,필름코팅정
200301251,플루틴캡슐10밀리그람(플루옥세틴염산염),장방형,연두,연두,,,14.2,5.05,5.32,"경질캡슐제, 산제"
200202889,아빌리파이정10밀리그램(아리피프라졸),장방형,분홍,,,,8.0,4.5,2.65,나정
200202890,아빌리파이정15밀리그램(아리피프라졸),원형,노랑,,,,6.0,6.0,2.75,나정
200301379,씨트리메토카르바몰정,장방형,주황,,,,13.1,7.1,5.2,나정
200303297,티로스파정(티로프라미드염산염),원형,하양,,,,7.9,7.9,3.8,필름코팅정
200307807,마이폴틱장용정180밀리그램(미코페놀레이트나트륨),원형,연두,,,,10.5,10.5,4.3,필름코팅정
200307806,마이폴틱장용정360밀리그램(미코페놀레이트나트륨),타원형,분홍,,,,17.5,7.1,6.3,필름코팅정
200307996,제이텍상사클로르탈리돈정50밀리그람(클로르탈리돈),원형,노랑,,-,,7,7,2,나정
200302205,알보젠시메티딘정400mg,장방형,파랑,,,-,15.64,7.70,5.79,필름코팅정
200301247,원틴정75밀리그람(니자티딘)(수출용),타원형,주황,,,,11,5,4,필름코팅정
200300694,알보젠레바미피드정,원형,하양,,,,8.10,8.10,3.37,필름코팅정
200300419,온세란정4mg(온단세트론염산염),원형,하양,,,,8.0,8.0,1.84,구강붕해정
200300268,브로멜린장용정(브로멜라인),타원형,하양,,,,15.51,9.03,5.17,장용성필름코팅당의정
200201036,펠리스캅셀(상황균사체엑스),장방형,갈색,노랑,,,21,7.0,8.5,"경질캡슐제, 산제"
200300393,"티에스원캡슐20,25",장방형,하양,하양,,,14.47,5.19,5.19,"경질캡슐제, 산제"
200302089,세프신캡슐(세픽심수화물)(수출용),장방형,주황,주황,,,13.95,4.83,5.21,"경질캡슐제, 산제"
200300413,큐라실정125밀리그램(테르비나핀염산염),원형,하양,,-,,9.0,9.0,3.5,나정
200402435,티피엠정(티로프라미드염산염),원형,하양,,,,7.8,7.8,3.6,필름코팅정
200302295,라민정(부시라민),원형,하양,,,,9.25,9.25,5,당의정
200308495,푸리민정37.5밀리그램(펜터민염산염),기타,하양,,-,,8.56,4.83,3.82,나정
200300985,뉴렙톨캡슐300밀리그램(가바펜틴),장방형,노랑,노랑,,,18.1,6.0,6.9,"경질캡슐제, 산제"
200403271,아세클라정(아세클로페낙),원형,하양,,,,8.15,8.15,3.76,필름코팅정
200401683,에이텍정(아세클로페낙),원형,하양,,,,8.1,8.1,3.63,필름코팅정
200403775,아낙정(아세클로페낙),원형,하양,,,,8.26,8.26,3.86,필름코팅정
200401882,록소젠정(록소프로펜나트륨수화물),원형,하양,,-,,9.1,9.1,3.4,나정
200402643,록소드펜정60밀리그램(록소프로펜나트륨수화물),원형,하양,,-,,9.09,9.09,3.33,나정
200401005,맥캄캡슐(멜록시캄),장방형,초록,초록,,,17.4,6.1,6.1,"경질캡슐제, 산제"
200401448,멜빅스캡슐(멜록시캄)(수출명:WONCOX Capsule),장방형,초록,초록,,,17,7,5,"경질캡슐제, 산제"
200400320,록시캄캡슐(멜록시캄),장방형,초록,초록,,,17.61,6.34,6.34,"경질캡슐제, 산제"
200505665,나부젠정(나부메톤),원형,하양,,,,13.1,13.1,5.4,필름코팅정
200404646,나메톤정(나부메톤),장방형,노랑,,,-,15.6,8.3,5.4,필름코팅정
200402716,탈리드정(탈니플루메이트),원형,주황,,,,11.14,11.14,4.21,필름코팅정
200401511,세로작캡슐(플루옥세틴염산염),장방형,노랑,노랑,,,14,5,5,"경질캡슐제, 산제"
200403185,푸세틴캡슐(플루옥세틴염산염),장방형,연두,노랑,,,14.20,5.05,5.32,"경질캡슐제, 산제"
200300990,브렌셀정(옥시라세탐),장방형,하양,,-,,17.6,7.6,6,나정
200410906,티로카정(염산티로프라미드),원형,하양,,,,7.6,7.6,3.8,필름코팅정
200401693,타이론정(티로프라미드염산염),원형,하양,,,,7.7,7.7,3.8,필름코팅정
200403255,케이엠에스아테놀올정50mg,원형,하양,,,,8.0,8.0,4.0,필름코팅정
200401825,카르젠정(카르베딜롤),원형,하양,,-,,7,7,1.9,나정
200401742,인트랙정(카르베딜롤),원형,하양,,,-,7.1,7.1,2.5,나정
200410892,듀베롤정(카르베딜롤),원형,하양,,-,,7.3,7.3,2.1,나정
200403597,에이프릴정(말레인산에날라프릴),원형,하양,,,-,8.7,8.7,3.3,나정
200402721,에프날정(에날라프릴말레산염),원형,하양,,,-,8.05,8.05,3.73,나정
200400295,로퍼린지속정(펠로디핀)(수출용),원형,분홍,,,,9,9,3.8,서방성필름코팅정
200503303,네오트린정(테라조신염산염수화물),원형,주황,,-,,7.10,7.10,3.75,나정
200404765,듀오프릴정20/12.5밀리그램,원형,분홍,,,,7.2,7.2,3.4,나정
200404648,한국콜마로바스타틴정,원형,파랑,,,-,9,9,2.8,나정
200403081,젤라스틴정(아젤라스틴염산염),원형,노랑,,,,6.15,6.15,3.5,필름코팅정
200401878,아젤라젠정(아젤라스틴염산염),원형,노랑,,,,6.5,6.5,3,필름코팅정
200402098,아제틴정(아젤라스틴염산염),원형,노랑,,,,6.6,6.6,3.1,필름코팅정
200400272,청계에르도스테인캡슐,장방형,초록,연두,,,20.60,6.55,6.55,"경질캡슐제, 산제"
200402912,엘도린캡슐(에르도스테인),장방형,초록,노랑,,,18,7,7,"경질캡슐제, 산제"
200404048,비도스캡슐(에르도스테인),장방형,초록,노랑,,,19,6.5,6.5,"경질캡슐제, 산제"
200404712,헤데코푸정(아이비엽30%에탄올건조엑스(5~7.5→1)),원형,초록,,,,9.2,9.2,4.1,필름코팅정
200404862,씨메틴정(시메티딘),원형,연두,,,,10.1,10.1,4.95,필름코팅정
200403434,삼익파모티딘정(파모티딘),원형,하양,,,,7,7,3,필름코팅정
200404863,파몬딘정(파모티딘),원형,하양,,,,8.2,8.2,3.7,필름코팅정
200404034,다프라캡슐(란소프라졸과립)수출명:SLANZOLECapsule,장방형,하양,하양,,,19,6.5,6.5,"경질캡슐제, 장용성과립제"
200402026,란소텍정(란소프라졸)(수출용),원형,분홍,,,,9.3,9.3,4,장용성필름코팅정
200400195,란섹정(란소프라졸)(수출용),원형,분홍,,,,9.4,9.4,4.4,장용성필름코팅정
200402350,라프졸정(란소프라졸)(수출용),원형,갈색,,,,9,9,4,장용성필름코팅정
200401456,오메톤캡슐(오메프라졸),장방형,빨강,분홍,,,17.2,6,6,"경질캡슐제, 장용성과립제"
200707212,오라섹캡슐(오메프라졸),장방형,빨강,분홍,,,17.55,6.07,6.35,"경질캡슐제, 장용성과립제"
200400232,오프라졸캡슐(오메프라졸),장방형,갈색,분홍,,,,,,"경질캡슐제, 장용성과립제"
200411095,오메라졸캡슐(오메프라졸)(수출명 : OMERAZOLE Caps.),장방형,갈색,분홍,,,19.10,6.63,6.91,"경질캡슐제, 장용성과립제"
200402816,오프라캡슐(오메프라졸),장방형,빨강,분홍,,,18,7,7,"경질캡슐제, 장용성과립제"
200402694,오메존캡슐(오메프라졸),장방형,갈색,분홍,,,19.19,5.92,6.37,"경질캡슐제, 장용성과립제"
200400274,에이프로젠레바미피드정,원형,하양,,,,8.086,8.086,3.528,필름코팅정
200411099,라피드정(레바미피드),원형,하양,,,,8.1,8.1,3.3,필름코팅정
200404865,레보칸정(레보설피리드),원형,하양,,,,6.1,6.1,3.3,나정
200402069,삼메틴정(트리메부틴말레산염),원형,하양,,,,10.1,10.1,4.4,나정
200401821,씬지로이드정0.05밀리그램(레보티록신나트륨수화물),원형,분홍,,,-,5.6,5.6,2.3,나정
200400993,피나드론정(피나스테리드),원형,파랑,,,+,7.6,7.6,3.8,필름코팅정
200404043,실베스타정(실로스타졸),원형,하양,,,,7.0,7.0,2.5,나정
200501458,뉴마린연질캡슐(밀크시슬열매건조엑스),장방형,갈색,,,,26,11,11,"연질캡슐제, 액상"
200501393,치카바정,장방형,초록,,,,19.0,8.5,5.8,필름코팅정
200501008,롤캠정(로녹시캄),원형,하양,,,,8.1,8.1,4.1,필름코팅정
200500995,토라드정5밀리그람(토라세미드),원형,하양,,,,5.9,5.9,2.65,나정
200500990,팜헤르정(팜시클로비르),원형,하양,,-,,10.0,10.0,4.3,필름코팅정
200502627,뉴로인캡슐(가바펜틴),장방형,노랑,노랑,,,19.10,6.63,6.91,"경질캡슐제, 산제"
200512148,디에타민정(펜터민염산염),기타,하양,,,-,8.5,4,3,나정
200401325,세로필캡슐(아세브로필린),장방형,회색,하양,,,19.0,6.8,7.0,"경질캡슐제, 산제"
200503722,알민정,장방형,하양,,,,16,8.5,7.0,나정
200402458,엘펙탄캡슐(에르도스테인),장방형,초록,노랑,,,18.92,6.95,6.95,"경질캡슐제, 산제"
200500052,화인코에이캡슐,장방형,파랑,하양,,,19.4,6.7,6.7,"경질캡슐제, 산제"
200500041,네오로신캡슐(탐스로신염산염),장방형,주황,하양,,,15.8,5.67,5.67,"서방성캡슐제, 펠렛"
200500171,멜콕시캡슐(멜록시캄),장방형,초록,초록,,,17,6,6,"경질캡슐제, 산제"
200502058,멜리카캡슐(멜록시캄),장방형,연두,연두,,,14.1,4.9,5,"경질캡슐제, 산제"
200300410,스펜달린정2밀리그램(리스페리돈),장방형,주황,,-,,10.7,5.2,3.4,필름코팅정
200502721,라노프라정(란소프라졸)(수출용),원형,갈색,,,,9,9,4.3,장용성필름코팅정
200402361,덴타롤캡슐,장방형,노랑,노랑,,,19.2,6.45,6.85,"경질캡슐제, 산제"
200402363,일심소부롤캡슐,장방형,초록,노랑,,,19.2,6.45,6.85,"경질캡슐제, 산제"
200501159,트락손정50밀리그램(날트렉손염산염)(수출명:노텍손정(날트렉손염산염)),장방형,노랑,,-,,13.5,5.0,4.7,필름코팅정
200401247,파록스정20밀리그램(파록세틴염산염수화물),장방형,하양,,,-,11.7,6.0,4.1,필름코팅정
200401373,스카테론정(피나스테리드),원형,파랑,,,+,7.63,7.63,3.85,필름코팅정
200802524,에드린정(에페리손염산염),원형,하양,,,,7,7,2,당의정
200402544,티로다정100mg(염산티로프라미드),원형,하양,,,,8,8,3,필름코팅정
200802185,티로스팜정(염산티로프라미드),원형,하양,,,,7.6,7.6,3.6,필름코팅정
200501895,이타코나정(이트라코나졸고체분산체),원형,하양,,,,12,12,5,필름코팅정
200500489,웰콘정(폴리카르보필칼슘),타원형,하양,,,,18,9,5.8,필름코팅정
200701825,노디멘치아정(염산아세틸엘카르니틴)(수출용),장방형,하양,,,,16.3,3.76,6.64,필름코팅정
200500305,하이잘탄정50밀리그램(로사르탄칼륨),타원형,하양,,,-,10.55,,5.70,필름코팅정
200512313,토프람정100mg(토피라메이트)(수출용),원형,노랑,,,,9.1,9.1,4.6,필름코팅정
200502681,알모론연질캡슐,타원형,초록,,,,17,6.5,6.5,"연질캡슐제, 액상"
200501107,레파드린정(레바미피드),원형,하양,,,,8.13,8.13,3.38,필름코팅정
200300626,레보파신정(레보플록사신수화물)(수출명: LEVOGEM),원형,하양,,,,8.5,8.5,3.8,필름코팅정
200301765,페르펜정(수출용),장방형,하양,,-,,18.15,7.1,5.9,필름코팅정
200201883,카딜란정(카르베딜롤),원형,하양,,-,-,7.0,7.0,2.0,나정
200402058,록시맥스정(록시트로마이신),원형,하양,,,,9.6,9.6,4.2,필름코팅정
200307829,클래리시드필름코팅정250밀리그램(클래리트로마이신),장방형,노랑,,,,15.8,8.0,5.7,필름코팅정
200202791,데놀정(비스무트시트르산염칼륨),원형,하양,,,,10.3,10.3,4.7,필름코팅정
200302574,록스파인정(록소프로펜나트륨수화물),원형,분홍,,,,9.1,9.1,3.1,나정
200200772,악토넬정35밀리그람(리세드론산나트륨),장방형,주황,,,,12,6,4,필름코팅정
200300698,트리아핀정2.5/2.5mg,원형,주황,,,,9,9,5,필름코팅정
200209695,코디오반정160/12.5밀리그램,타원형,갈색,,,,15,6,3,필름코팅정
200200234,프로비질정200밀리그램(모다피닐),장방형,하양,,,-,11.0,7.0,4.3,나정
200300406,닥터베아제정,장방형,주황,,,,14.9,8.3,5.8,필름코팅정
200210689,딜리드정2밀리그램(히드로모르폰염산염),원형,주황,,,,6.9,6.9,3.4,나정
200210593,케토스테릴정,장방형,노랑,,,,17.0,6.5,7.0,필름코팅정
200300879,제이시드듀오정,장방형,하양,,,,18.1,8.2,5.46,나정
200300025,데코펜정(덱시부프로펜디.씨),장방형,주황,,-,,14.4,8.7,5.6,필름코팅정
200300111,메솔론정(메틸프레드니솔론),원형,하양,,,-,7,7,2,나정
200300167,린코신캡슐(린코마이신염산염수화물),장방형,파랑,파랑,,,18.90,6.23,6.61,"경질캡슐제, 산제"
200300168,린코신캡슐500mg(린코마이신염산염수화물),장방형,파랑,"파랑, 옅은",,,21.30,6.95,7.34,"경질캡슐제, 산제"
200300277,아목타심정375밀리그램[아목시실린·클라불란산칼륨(2:1)],타원형,하양,,,,16.8,7.6,6.3,필름코팅정
200300401,다이아벡스정1000밀리그램(메트포르민염산염),장방형,하양,,기타,기타,21.2,8.6,6.6,필름코팅정
200200478,유한심바스타틴정20밀리그람,타원형,주황,,-,,11.2,6.3,3.6,필름코팅정
200300415,씨클라린정(클래리트로마이신),원형,노랑,,,-,10.1,10.1,4.85,필름코팅정
200200582,미렌탈정,원형,하양,노랑,,,10.5,10.5,4.0,나정
200200644,심바틴정40밀리그람(심바스타틴),타원형,분홍,,,-,19.5,8.1,4.6,필름코팅정
200400753,페노베이트캡슐(페노피브레이트 과립(미분화)),장방형,주황,주황,,,19.1,6.63,6.91,"경질캡슐제, 과립제"
200402309,심바로정(심바스타틴),타원형,주황,,-,,12.27,6.47,3.63,필름코팅정
200400828,리포스타정20밀리그램(심바스타틴),타원형,분홍,,,-,11.3,6.3,3.9,필름코팅정
200401872,카르니젠정(아세틸-L-카르니틴염산염)(수출용),장방형,하양,,,,16.3,8.4,6.6,필름코팅정
200403334,아세니틴정(아세틸-L-카르니틴염산염),장방형,하양,,,,16.23,8.41,6.43,장용성필름코팅정
200400215,노바로핀캡슐(암로디핀말레산염),장방형,갈색,갈색,,,14.2,5.05,5.32,"경질캡슐제, 산제"
200400113,애니디핀정(암로디핀말레산염),기타,하양,,,-,9.4,6.4,3.5,나정
200402637,아모디핀정5밀리그램(암로디핀캄실산염),육각형,하양,,,-,8.32,6.06,3.13,나정
200402529,바미픽스정(염산바미필린),장방형,하양,,,-,16.2,7.65,3.38,장용성필름코팅정
200300579,도스틴캡슐(에르도스테인),장방형,초록,노랑,,,18.89,6.43,6.72,"경질캡슐제, 산제"
200300769,엔디스캡슐(에르도스테인),장방형,초록,노랑,,,19.1,6.6,6.9,"경질캡슐제, 산제"
200411048,엘도텍캡슐(에르도스테인),장방형,초록,초록,,,19.10,6.63,6.91,"경질캡슐제, 산제"
200403137,휴온스시메티딘정200밀리그램(수출명:TAGAMENTTab.200밀리그램),원형,연두,,,,9.1,9.1,4.9,나정
200401211,파모젠정(파모티딘),원형,하양,,,,8.5,8.5,4.0,필름코팅정
200404690,파모터정20밀리그램(파모티딘),원형,연두,,,,7.2,7.2,3.6,필름코팅정
200400772,제메프라캡슐20mg(오메프라졸장용성과립),장방형,갈색,분홍,,,17.6,6.07,6.35,"장용성캡슐제, 펠렛"
200402023,오메딘캡슐(오메프라졸),장방형,갈색,분홍,,,17.60,6.07,6.35,"장용성캡슐제, 펠렛"
200401474,잔시큐정(라니티딘염산염),원형,하양,,,,9.8,9.8,4.7,필름코팅정
200401329,유란탁정75밀리그램(라니티딘염산염),원형,분홍,,,,7.9,7.9,2.55,필름코팅정
200403240,레코스타정(레바미피드),원형,하양,,,,8,8,3.3,필름코팅정
200401741,바메딘정(레바미피드),원형,하양,,,,8.1,8.1,3.2,필름코팅정
200703088,레드정(레보설피리드),원형,하양,,,,6.1,6.1,3.4,나정
200402717,레피딘정(레보설피리드),원형,하양,,,,6.05,6.05,3.26,나정
200411066,비페딘정(비페닐디메틸디카르복실레이트),타원형,하양,,,,11.0,7.0,4.2,나정
200403462,메디롤정2mg(글리메피리드)(수출명 : MEDIROL Tab. 2mg),기타,초록,,,-,10.2,5.1,3.0,나정
200401108,글리베타정2밀리그람(글리메피리드),기타,초록,,-,-,10.0,5.0,3.0,나정
200400194,제이마릴정2밀리그램(글리메피리드),기타,초록,,-,-,10,5,2.7,나정
200402823,위더스글리메피리드정2mg,기타,초록,,-,-,10,4,2.2,나정
200411065,아마리아정(글리메피리드),기타,초록,,-,-,10.08,5.07,2.95,나정
200401699,글리프릴정(글리메피리드),기타,초록,,-,-,10.1,5.1,3.0,나정
200404038,아메리드정(글리메피리드),기타,초록,,-,-,10.0,5.0,2.7,나정
200404867,세러캡슐(세파클러수화물),장방형,보라,하양,,,18.9,6.4,6.8,"경질캡슐제, 산제"
200402327,글로세파드록실캡슐,장방형,초록,연두,,,21.5,7.1,7.5,"경질캡슐제, 산제"
200705882,세푸로틸정(세푸록심악세틸),장방형,하양,,,-,16.3,6.8,5.9,필름코팅정
200403433,아이실린에스정(아목시실린·클라불란산칼륨(7:1)),타원형,하양,,,,12,9,4,필름코팅정
200401457,크래빅스정(클래리트로마이신),장방형,노랑,,,,15.8,8,5,필름코팅정
